"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BMM523X7","journalArticle","2021","Helbich, Marco; Poppe, Ronald; Oberski, Daniel; Zeylmans van Emmichoven, Maarten; Schram, Raoul","Can’t see the wood for the trees? An assessment of street view- and satellite-derived greenness measures in relation to mental health","Landscape and Urban Planning","","0169-2046","10.1016/j.landurbplan.2021.104181","https://www.sciencedirect.com/science/article/pii/S0169204621001444","Greenness in the urban living environment is inconsistently associated with mental health. Satellite-derived measures of greenness may inadequately characterize how people encounter greenness visually on site, but systematic comparisons are lacking. We aimed 1) to compare associations between remotely sensed and street view (SV) greenness, and 2) to examine whether these greenness metrics are differently associated with mental health outcomes. We used cross-sectional depressive and anxiety symptoms data on adults in Amsterdam, the Netherlands. We employed a convolutional neural network to segment greenness in SV panoramas. Greenness was measured top-down by normalized difference vegetation indices (NDVI) from 1 m resolution orthophotos (OP) and 30 m resolution Landsat-8 (LS) imagery per postal code, and 100 and 300 m concentric and street-network buffers at the home address. Correlation analyses assessed associations across greenness measures. Covariate-adjusted regressions (e.g., noise, air pollution, deprivation) were conducted to assess associations between each greenness metric and mental health outcomes. Correlations between greenness metrics were significantly positive and moderately high. SV greenness was less sensitive across scales and residential contexts than OP and LS greenness. There was no statistically significant evidence that people with less urban residential greenness had higher depression or anxiety scores than those exposed to higher levels. Nor did different greenness measures, scales, or residential context definitions alter our null associations. This suggests that even though SV and remotely sensed measures capture different aspects of greenness, these differences across exposure metrics did not translate into an association with mental health outcomes.","2021-10-01","2021-12-02 15:01:08","2022-11-21 15:10:13","2021-11-11 16:16:10","104181","","","214","","Landscape and Urban Planning","Can’t see the wood for the trees?","","","","","","","en","","","","","ScienceDirect","","11 citations (Crossref) [2022-11-21]","","C:\Users\angel\Zotero\storage\E6ZZE84K\Helbich et al. - 2021 - Can’t see the wood for the trees An assessment of.pdf","","Roadmap (MAD 2020)","Depression; Green space; Anxiety; Computer vision; Deep learning; Street view imagery; Uncertain geographic context","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R46A4DVM","journalArticle","2022","Kroese, Janique; Bernasco, Wim; Liefbroer, Aart C.; Rouwendal, Jan","Single-Parent Families and Adolescent Crime: Unpacking the Role of Parental Separation, Parental Decease, and Being Born to a Single-Parent Family","Journal of Developmental and Life-Course Criminology","","2199-465X","10.1007/s40865-021-00183-7","https://doi.org/10.1007/s40865-021-00183-7","Addressing a gap in the extant literature on single-parent families and juvenile delinquency, we distinguish between different types of single-parent families. Using Dutch population register data on nearly 1.3 million children, we performed logistic regressions to assess the relation between growing up in a single-parent family before age 12 and the likelihood to engage in juvenile delinquency during adolescence. Our findings suggest that the likelihood of juvenile delinquency increases (1) when children are born to a single parent, followed by children with separated parents and children experiencing parental death, compared to children growing up with both biological parents; (2) when the single-parent family started at a younger age; and (3) when children grow up with only a biological mother, for both sons and daughters, compared to only a biological father. The relationship between growing up in single-parent families and juvenile delinquency is much more complex than often assumed. Future research should pay more attention to diversity in the composition of single-parent families.","2022-01-17","2022-01-24 08:32:21","2022-11-21 15:10:25","2022-01-24 08:30:15","","","","","","J Dev Life Course Criminology","Single-Parent Families and Adolescent Crime","","","","","","","en","","","","","Springer Link","","1 citations (Crossref) [2022-11-21]","","C:\Users\angel\Zotero\storage\S7IG3FK8\Kroese et al. - 2022 - Single-Parent Families and Adolescent Crime Unpac.pdf","","Core (MAD 2017)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJ7EDE2L","journalArticle","2021","Bijwaard, Govert E.; Alessie, Rob; Angelini, Viola; Lumey, L. H.","Physical and psychological health at adolescence and home care use later in life","PLOS ONE","","1932-6203","10.1371/journal.pone.0261078","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0261078","Objectives To examine the relation between physical and psychological health indicators at adolescence (age 18) and household, personal, and nursing home care use later in life at ages 57–69 years. Methods Using medical examinations on men born in 1944–1947 who were evaluated for military service at age 18 in the Netherlands, we link physical and psychological health assessments to national administrative microdata on the use of home care services at ages 57–69 years. We postulate a panel probit model for home care use over these years. In the analyses, we account for selective survival through correlated panel probit models. Results Poor mental health and being overweight at age 18 are important predictors of later life home care use. Home care use at ages 57–69 years is also highly related to and interacts with father’s socioeconomic status and recruits’ education at age 18. Discussion Specific health characteristics identified at age 18 are highly related to the later utilization of home-care at age 57–69 years. Some characteristics may be amenable to early life health interventions to decrease the future costs of long-term home care.","2021-12-08","2022-01-24 08:33:31","2022-11-21 15:46:52","2022-01-06 10:50:37","e0261078","","12","16","","PLOS ONE","","","","","","","","en","","","","","PLoS Journals","","0 citations (Crossref) [2022-11-21] Publisher: Public Library of Science","","C:\Users\angel\Zotero\storage\Y9M4HKEX\Bijwaard et al. - 2021 - Physical and psychological health at adolescence a.pdf; C:\Users\angel\Zotero\storage\V2WY6TTN\article.html","","Core (MAD 2017)","Netherlands; Professions; Educational attainment; Long-term care; Mental health and psychiatry; Nursing homes; Overweight; Socioeconomic aspects of health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXCPRJ2A","report","2022","Seibel, Verena; Yerkes, Mara A.","On the Road to a New Childcare System? Barriers to  Childcare Use in the Netherlands","","","","","https://www.uu.nl/en/news/one-third-of-dutch-parents-struggle-to-pay-for-childcare","Childcare services have been the subject of much debate in the  Netherlands in recent years, culminating in major changes to the  childcare system. The scandal in childcare benefits led to the fall  of the government in January 2021. A key promise of the new government coalition emerging in December 2021 outlines a policy  promise of nearly free childcare for working parents and the abolition of the  benefit system. On this road to a new childcare system, what do parents know about childcare  benefits? Or their eligibility? And do parents feel childcare services are easily accessible? In the  project “From perceptions to behavior?” we look at parents' perceptions of the availability and  costs of childcare. We also study what parents do and don’t know about the organization of  formal childcare and eligibility criteria for childcare benefits. Further, we want to understand  whether parents’ childcare perceptions and knowledge depend on their level of education and  migration background. This policy brief outlines initial key findings from the study","2022","2022-01-24 08:37:47","2022-11-17 10:17:32","","1-6","","","","","","","","","","","Universiteit Utrecht","","","","Policy brief","","","","","","","","","Core (LISS 2019)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TMV5PBJ7","manuscript","2021","Kastelein, Pim","Wealth and consumption over the life cycle with pension plans and durable goods","","","","","","Households allocate large portions of their income to illiquid durable goods and pension plans. Governments often subsidise or mandate participation in the latter to ensure adequate retirement saving. This comes at the expense of decreased resilience to adverse shocks and distorted accumulation of durables during working life. We construct a life-cycle model with pensions and durables to study the eﬀects of diﬀerent pension plan designs. Contributions are irreversible until retirement and non-collateralisable, while purchasing durables is subject to adjustment costs and borrowing constraints. Despite this illiquidity, households keep little precautionary savings because of utility from durables and longevity insurance from pension plans. We calibrate the model to the pension system of the Netherlands where households face a rigid contribution mandate. Our model replicates the illiquid ﬁnancial portfolios of Dutch households and indicates that ﬂexibilisation policies (such as voluntary participation, richer contribution mandates and early withdrawal) improve household liquidity and welfare.","2021","2022-02-16 12:58:41","2022-11-24 08:12:24","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\angel\Zotero\storage\KYL5DWEG\Kastelein - Wealth and consumption over the life cycle with pe.pdf","","Core (MAD 2019)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L6GNRMDR","journalArticle","2018","Petrović, Ana; van Ham, Maarten; Manley, David","Multiscale Measures of Population: Within- and between-City Variation in Exposure to the Sociospatial Context","Annals of the American Association of Geographers","","2469-4452","10.1080/24694452.2017.1411245","https://doi.org/10.1080/24694452.2017.1411245","Appreciating spatial scale is crucial for our understanding of the sociospatial context. Multiscale measures of population have been developed in the segregation and neighborhood effects literatures, which have acknowledged the role of a variety of spatial contexts for individual outcomes and intergroup contacts. Although existing studies dealing with sociospatial inequalities increasingly explore the effects of spatial scale, there has been little systematic evidence on how exposure to sociospatial contexts changes across urban space, both within and between cities. This article presents a multiscale approach to measuring potential exposure to others. Using individual-level register data for the full population of The Netherlands and an exceptionally detailed multiscalar framework of bespoke neighborhoods at 101 spatial scales, we measured the share of non-Western ethnic minorities for three Dutch cities with different urban forms. We created individual and cumulative distance profiles of ethnic exposure, mapped ethnic exposure surfaces, and applied entropy as a measure of scalar variation to compare potential exposure to others in different locations both within and between cities. The multiscale approach can be implemented for examining a variety of social processes, notably segregation and neighborhood effects.","2018-07-04","2022-02-22 10:45:42","2022-11-21 15:10:43","2022-02-22 10:45:42","1057-1074","","4","108","","","Multiscale Measures of Population","","","","","","","","","","","","Taylor and Francis+NEJM","","23 citations (Crossref) [2022-11-21] Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/24694452.2017.1411245","","C:\Users\angel\Zotero\storage\RDCY4B7A\Petrović et al. - 2018 - Multiscale Measures of Population Within- and bet.pdf; C:\Users\angel\Zotero\storage\QRN7AID2\24694452.2017.html","","Bridge (OSSC)","distance profile, entropy, ethnic exposure, spatial scale, urban form; perfil de distancia, entropía, exposición étnica, escala espacial, forma urbana; 距离概况, 熵, 族裔暴露, 空间尺度, 城市形态。","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2MZIX3WU","manuscript","2022","Simonse, Olaf; Knoef, Marike; van Dillen, Lotte F; van Dijk, Wilco W; van Dijk, Eric","Psychological Barriers to Take-Up of Healthcare and Child Support Benefits in the Netherlands","","","","","","We empirically test an integral model for healthcare and child support benefits take-up using a probability sample of the Dutch population (N = 905). To examine how different psychological factors, in conjunction, explain take-up, we apply model averaging with Akaike’s Information Criterion (AICC). For both types of benefits, people’s perceptions of eligibility best explain take-up. For healthcare benefits, take-up also relates to perceptions of need. Exploratory analyses suggest that for healthcare benefits but not for child support benefits, executive functions, self-efficacy, fear of reclaims, financial stress, and welfare stigma may indirectly explain take-up, with perceived eligibility as mediator. We find no support for knowledge, support, and administrative burden as explanatory factors in take-up. We discuss the results in relation to the Capability Opportunity Motivation Behavior (COMB) model for developing behavioural change interventions.","2022","2022-04-21 08:40:15","2023-06-02 08:30:09","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\angel\Zotero\storage\K8VV6RN2\Simonse et al. - Psychological Barriers to Take-Up of Healthcare an.pdf","","Core (LISS 2020)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VX4DUQLI","report","2022","Maineri, Angelica M.; Morselli, Francesca; Braukmann, Ricarda","Assessing FAIR Data Support Needs Amongst Data Supporters in the ODISSEI Community","","","","","https://zenodo.org/record/6524821","This report outlines the main results of a survey fielded by ODISSEI and DANS among data supporters in the Netherlands. The survey was launched at the end of 2021 and focused on assessing the needs of data stewards supporting researchers working with (quantitative) social science data. Results indicate that, despite the large amount of FAIR resources available online, there is a need for practical guidance on how to `do FAIR’ in the social sciences, and highlight various challenges in the domain of privacy, data anonymisation and GDPR-compliance. To overcome these challenges, ODISSEI and DANS aim to build a website focusing on practical guidance on FAIR implementation in the social sciences, establishing a ‘FAIR help desk’ for ad-hoc support, and organise networking activities to facilitate connections among data supporters working in the social sciences.","2022-05-06","2022-05-06 14:41:00","2022-11-17 10:43:23","2022-05-06 14:41:00","","","","","","","","","","","","Zenodo","","eng","","","","","Zenodo","","DOI: 10.5281/zenodo.6524821","This work was executed as part of the ODISSEI Roadmap Project funded by the Dutch Research Council (NWO) under grant number 184.035.014.","C:\Users\angel\Zotero\storage\LR9BA3VS\Maineri et al. - 2022 - Assessing FAIR Data Support Needs Amongst Data Sup.pdf","","Roadmap (FAIR support)","data stewardship; FAIR data; ODISSEI; RDM; social sciences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XC7U2DCA","journalArticle","2022","Yerkes, Mara A.; Remery, Chantal; André, Stéfanie; Salin, Milla; Hakovirta, Mia; van Gerven, Minna","Unequal but balanced: Highly educated mothers’ perceptions of work–life balance during the COVID-19 lockdown in Finland and the Netherlands","Journal of European Social Policy","","0958-9287","10.1177/09589287221080411","https://doi.org/10.1177/09589287221080411","One year after the European work–life balance directive, which recognises the need for work–family policy support, measures to slow the spread of the COVID-19 pandemic began shaping parents’ work–life balance in significant ways. Academically, we are challenged to explore whether existing theoretical frameworks hold in this new environment with combined old and new policy frameworks. We are also challenged to understand the nuanced ways in which the first lockdown affects the combination of paid work and care. We address both of these issues, providing a cross-sectional comparative analysis of highly educated mothers’ perceptions of work–life balance during the COVID-19 pandemic in Finland and the Netherlands. Our findings show that highly educated Finnish mothers have more difficulty combining work and care during the first lockdown than Dutch mothers. The absence of state-provided care during the lockdown creates greater difficulty for full-time working Finnish mothers in a dual-earner/state-carer system than an absence of such care in the Dutch one-and-a-half earner system, where most mothers work part time. Further analyses suggest variation in part-time and (nearly) full-time hours mitigates the work–life balance experiences of highly educated Dutch mothers. Additional factors explaining cross-country variation or similarities include the presence of young children and the presence of a partner. We discuss these findings in light of current theoretical frameworks and highlight avenues for future research.","2022-03-01","2022-05-11 13:22:50","2022-11-21 15:12:54","2022-05-11 13:22:50","09589287221080411","","","","","Journal of European Social Policy","Unequal but balanced","","","","","","","en","","","","","SAGE Journals","","3 citations (Crossref) [2022-11-21] Publisher: SAGE Publications Ltd","","C:\Users\angel\Zotero\storage\E94C5MCQ\Yerkes et al. - 2022 - Unequal but balanced Highly educated mothers’ per.pdf","","Core (LISS 2020 Corona)","the Netherlands; COVID-19 pandemic; Finland; lockdown; work–care regimes; work–life balance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASLNAS43","journalArticle","2022","Raiber, Klara; Visser, Mark; Verbakel, Ellen","The wage penalty for informal caregivers from a life course perspective","Advances in Life Course Research","","1040-2608","10.1016/j.alcr.2022.100490","https://www.sciencedirect.com/science/article/pii/S1040260822000302","Caring for a friend or family member in need of care has been found to have negative consequences for wages. This study contributes to the literature by studying how three major life course factors, namely timing of first caregiving, duration of caregiving, and the number of caregiving episodes, help to explain the (hourly) wage penalty for informal caregivers (i.e., providers of health-related care to older or disabled people in the personal network). We used unique retrospective data of 1417 informal caregivers in the Netherlands that map start and end dates of up to seven caregiving episodes. Findings showed that a higher number of caregiving episodes was related to a stronger wage penalty, whereas timing of first caregiving was not associated with a wage penalty. Opposite to our expectation, we found that the wage penalty decreased the longer someone cared, potentially even resulting in a wage premium for long-time caregivers. We conclude that applying a life course perspective is relevant when examining employment consequences of informal caregiving and that caregiving possibly fosters skills that are beneficial for employment careers in the long run.","2022-09-01","2022-06-13 07:28:00","2022-11-21 15:10:51","2022-06-13 07:27:54","100490","","","53","","Advances in Life Course Research","","","","","","","","en","","","","","ScienceDirect","","0 citations (Crossref) [2022-11-21]","","","","","Employment; Informal care; Life course; Wage; Work & family","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SACVWL6K","journalArticle","2022","Raiber, Klara; Visser, Mark; Verbakel, Ellen","The wage penalty for informal caregivers from a life course perspective","Advances in Life Course Research","","1040-2608","10.1016/j.alcr.2022.100490","https://www.sciencedirect.com/science/article/pii/S1040260822000302","Caring for a friend or family member in need of care has been found to have negative consequences for wages. This study contributes to the literature by studying how three major life course factors, namely timing of first caregiving, duration of caregiving, and the number of caregiving episodes, help to explain the (hourly) wage penalty for informal caregivers (i.e., providers of health-related care to older or disabled people in the personal network). We used unique retrospective data of 1417 informal caregivers in the Netherlands that map start and end dates of up to seven caregiving episodes. Findings showed that a higher number of caregiving episodes was related to a stronger wage penalty, whereas timing of first caregiving was not associated with a wage penalty. Opposite to our expectation, we found that the wage penalty decreased the longer someone cared, potentially even resulting in a wage premium for long-time caregivers. We conclude that applying a life course perspective is relevant when examining employment consequences of informal caregiving and that caregiving possibly fosters skills that are beneficial for employment careers in the long run.","2022-09-01","2022-06-13 07:29:09","2022-11-21 15:10:54","2022-06-13 07:29:09","100490","","","53","","Advances in Life Course Research","","","","","","","","en","","","","","ScienceDirect","","0 citations (Crossref) [2022-11-21]","","C:\Users\angel\Zotero\storage\F3H558J8\Raiber et al. - 2022 - The wage penalty for informal caregivers from a li.pdf","","Core (LISS 2019)","Employment; Informal care; Life course; Wage; Work & family","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQE4BZSZ","journalArticle","2022","van der Laan, Jan; de Jonge, Edwin; Das, Marjolijn; Te Riele, Saskia; Emery, Tom","A Whole Population Network and Its Application for the Social Sciences","European Sociological Review","","0266-7215","10.1093/esr/jcac026","https://doi.org/10.1093/esr/jcac026","This data brief presents a whole population network file constructed from administrative data. The network incorporates 1.4 billion relationships between all 17 million inhabitants of the Netherlands in 2018. Relationships are identified between individuals who live in the same household, live close to each other, work for the same company, attend the same educational institution, or belong to the same extended family. The network file is available for analysis at Statistics Netherlands for research purposes. The data brief explains the network construction, the underlying data, data access, and discusses its applications for social research. The network has great potential for the social sciences due to its scale and comprehensive coverage of individuals. As a use case, we present a random walk approach to estimate segregation between people of different educational backgrounds. Further applications of whole population networks are also discussed.","2022-06-11","2022-06-14 08:36:45","2022-11-21 12:28:16","2022-06-14 08:36:45","jcac026","","","","","European Sociological Review","","","","","","","","","","","","","Silverchair","","0 citations (Crossref) [2022-11-21]","","C:\Users\angel\Zotero\storage\NDP52Q6K\van der Laan et al. - 2022 - A Whole Population Network and Its Application for.pdf; C:\Users\angel\Zotero\storage\X9AFAK7L\6605763.html","","Roadmap 2020 (CBS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ER6EJY9X","journalArticle","2022","Raiber, Klara; Verbakel, Ellen; de Boer, Alice","Testing the informal care model: intrapersonal change in care provision intensity during the first lockdown of the COVID-19 pandemic","European Journal of Ageing","","1613-9380","10.1007/s10433-022-00713-2","https://doi.org/10.1007/s10433-022-00713-2","Informal care, meaning taking health-related care of people in their own social network, is a topic that gets more and more attention in social science research because the pressure on people to provide informal care is rising due to ageing societies and policy changes. The Informal Care Model developed by Broese van Groenou and de Boer (Eur J Ageing 13(3):271–279, 2016) provides a theoretical foundation to understand under what conditions a person provides informal care. We test this theoretical model by applying it to intrapersonal changes in informal care provision during the first COVID-19 lockdown in the Netherlands in Spring 2020. Data from the LISS panel from two time points, March 2020 and data from July over the period of April/May 2020, were analysed with multinominal multilevel regression analysis (N = 1270 care situations of 1014 caregivers). Our results showed that the individual determinants (Do I have to?, Do I want to?, and especially Can I?) discussed in the Informal Care Model (apart from a series of control variables) are contributing substantially to the understanding of intrapersonal changes in care provision during the first lockdown and by that, we found empirical support for the theoretical model. We conclude that on top of its original purpose to explain between-individual differences in informal caregiving using static indicators, the Informal Care Model is also useful to explain intrapersonal changes in informal caregiving using dynamic indicators.","2022-06-22","2022-06-27 08:39:03","2022-11-21 15:10:49","2022-06-27 08:39:03","","","","","","Eur J Ageing","Testing the informal care model","","","","","","","en","","","","","Springer Link","","0 citations (Crossref) [2022-11-21]","","C:\Users\angel\Zotero\storage\ZTQAEFTV\Raiber et al. - 2022 - Testing the informal care model intrapersonal cha.pdf","","Core (LISS 2019)","COVID-19; Informal care model; Intensity; Theory testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YF86EHEW","preprint","2022","Sun, Chang; van Soest, Johan; Dumontier, Michel","Improving Correlation Capture in Generating Imbalanced Data using Differentially Private Conditional GANs","","","","","http://arxiv.org/abs/2206.13787","Despite the remarkable success of Generative Adversarial Networks (GANs) on text, images, and videos, generating high-quality tabular data is still under development owing to some unique challenges such as capturing dependencies in imbalanced data, optimizing the quality of synthetic patient data while preserving privacy. In this paper, we propose DP-CGANS, a differentially private conditional GAN framework consisting of data transformation, sampling, conditioning, and networks training to generate realistic and privacy-preserving tabular data. DP-CGANS distinguishes categorical and continuous variables and transforms them to latent space separately. Then, we structure a conditional vector as an additional input to not only presents the minority class in the imbalanced data, but also capture the dependency between variables. We inject statistical noise to the gradients in the networking training process of DP-CGANS to provide a differential privacy guarantee. We extensively evaluate our model with state-of-the-art generative models on three public datasets and two real-world personal health datasets in terms of statistical similarity, machine learning performance, and privacy measurement. We demonstrate that our model outperforms other comparable models, especially in capturing dependency between variables. Finally, we present the balance between data utility and privacy in synthetic data generation considering the different data structure and characteristics of real-world datasets such as imbalance variables, abnormal distributions, and sparsity of data.","2022-06-28","2022-07-04 08:10:24","2022-11-17 10:52:03","2022-07-04 08:10:24","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2206.13787 [cs]","","C:\Users\angel\Zotero\storage\42G5IPUL\Sun et al. - 2022 - Improving Correlation Capture in Generating Imbala.pdf; C:\Users\angel\Zotero\storage\KE3E65RM\2206.html","","Roadmap (Distributed analytics)","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security; Computer Science - Data Structures and Algorithms; Computer Science - Machine Learning; E.0; I.2","","","","","","","","","","","","","","","","","","","arXiv:2206.13787","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23WF2JLG","journalArticle","2022","Martorana, Margherita; Kuhn, Tobias; Siebes, Ronald; Ossenbruggen, Jacco van","Aligning restricted access data with FAIR: a systematic review","PeerJ Computer Science","","2376-5992","10.7717/peerj-cs.1038","https://peerj.com/articles/cs-1038","Understanding the complexity of restricted research data is vitally important in the current new era of Open Science. While the FAIR Guiding Principles have been introduced to help researchers to make data Findable, Accessible, Interoperable and Reusable, it is still unclear how the notions of FAIR and Openness can be applied in the context of restricted data. Many methods have been proposed in support of the implementation of the principles, but there is yet no consensus among the scientific community as to the suitable mechanisms of making restricted data FAIR. We present here a systematic literature review to identify the methods applied by scientists when researching restricted data in a FAIR-compliant manner in the context of the FAIR principles. Through the employment of a descriptive and iterative study design, we aim to answer the following three questions: (1) What methods have been proposed to apply the FAIR principles to restricted data?, (2) How can the relevant aspects of the methods proposed be categorized?, (3) What is the maturity of the methods proposed in applying the FAIR principles to restricted data?. After analysis of the 40 included publications, we noticed that the methods found, reflect the stages of the Data Life Cycle, and can be divided into the following Classes: Data Collection, Metadata Representation, Data Processing, Anonymization, Data Publication, Data Usage and Post Data Usage. We observed that a large number of publications used ‘Access Control‘ and ‘Usage and License Terms’ methods, while others such as ‘Embargo on Data Release’ and the use of ‘Synthetic Data’ were used in fewer instances. In conclusion, we are presenting the first extensive literature review on the methods applied to confidential data in the context of FAIR, providing a comprehensive conceptual framework for future research on restricted access data.","2022-07-20","2022-08-12 08:40:39","2022-11-21 12:28:59","2022-08-12 08:40:39","e1038","","","8","","PeerJ Comput. Sci.","Aligning restricted access data with FAIR","","","","","","","en","","","","","peerj.com","","0 citations (Crossref) [2022-11-21] Publisher: PeerJ Inc.","","C:\Users\angel\Zotero\storage\T2SLRX65\Martorana et al. - 2022 - Aligning restricted access data with FAIR a syste.pdf; C:\Users\angel\Zotero\storage\M62UPKAP\cs-1038.html","","Roadmap 2020 (Portal)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQVKA2I5","journalArticle","2022","Helbich, Marco; Browning, Matthew H.E.M.; White, Mathew; Hagedoorn, Paulien","Living near coasts is associated with higher suicide rates among females but not males: A register-based linkage study in the Netherlands","Science of The Total Environment","","00489697","10.1016/j.scitotenv.2022.157329","https://linkinghub.elsevier.com/retrieve/pii/S0048969722044278","Exposure to blue spaces may promote psychological wellbeing and reduce mental distress. Whether these effects extend to suicide is unknown. We used register data from 14 million Dutch adults aged 18–64-years between 2007 and 2016 in a nested case-control study to estimate associations between blue space exposures and suicide risk. Each suicide case was matched to ten randomly selected controls. Two blue space exposures were assigned over a ten-year residential address history: distance to the closest inland blue space and distance to the coast. We ﬁtted (gender-stratiﬁed) conditional logistic regressions to the data. Possible effect modiﬁcations by income were also examined. In total, our analyses included 9757 cases and 95,641 controls. Effect estimates for distance to the closest inland blue space in the total population showed that people living farthest away from inland blue space were at-risk. Suicide risk was lower among women who lived farther away from the coast; no signiﬁcant effect was observed for men. No evidence was observed that income modiﬁed these associations. Our ﬁndings provide suggestive evidence that living close to the coast is associated with greater suicide risk for women, while living closer to inland blue spaces may add to the resilience against suicide in the total population. Past research shows that coastal proximity protects against milder forms of mental illness, but these protective effects do not appear to hold for suicide. Blue space interventions for women with severe mental illness or propensities to engage in self-harm should be approached with caution.","2022-11","2022-08-15 07:40:13","2022-11-21 15:09:57","2022-08-15 07:40:13","157329","","","845","","Science of The Total Environment","Living near coasts is associated with higher suicide rates among females but not males","","","","","","","en","","","","","DOI.org (Crossref)","","0 citations (Crossref) [2022-11-21]","","C:\Users\angel\Zotero\storage\YIC863FV\Helbich et al. - 2022 - Living near coasts is associated with higher suici.pdf","","Roadmap (MAD 2020)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D7GE8YYZ","preprint","2022","Raiber, Klara; Visser, Mark; Verbakel, Ellen","Strategies of Informal Caregivers to Adapt Paid Work","","","","10.31219/osf.io/zq483","https://osf.io/zq483/","Informal caregiving, meaning taking health-related care of an older and/or disabled person in the personal network, often has consequences for paid work. Classically scholars focus on two strategies of informal caregivers to adapt employment: stopping and reducing working hours. Two other, but neglected, plausible strategies may similarly have career consequences, namely changing jobs and becoming self-employed. We first assess the theoretical idea that a work-care conflict is a condition for choosing a work adaption strategy. Second, we theoretically and empirically explore a life course (i.e., timing) and gender perspective on strategies to adapt paid work. We use detailed Dutch retrospective data on informal caregiving, collected within LISS panel (N=3,676 caregiving episodes of 2,114 caregivers). Based on multilevel logistic regression models, we find that caregivers who felt that they had difficulties combining work and care, were more likely to choose any strategy. Especially caregivers who started to provide care at the age of 24 or younger were more likely to reduce working hours or change jobs. In the early family formation stage (25-34 years), women were more likely to reduce working hours, while in early middle age (45-54 years) men were more likely to stop working.","2022-07-12","2022-08-15 07:43:03","2022-11-17 10:25:26","2022-08-15 07:43:03","","","","","","","","","","","","OSF Preprints","","en-us","","","","","OSF Preprints","","","","C:\Users\angel\Zotero\storage\2QJJ5UPP\Raiber et al. - 2022 - Strategies of Informal Caregivers to Adapt Paid Wo.pdf","","Core (LISS 2019)","Social and Behavioral Sciences; Sociology; informal care; and Society; Family; gender; labour force participation; life course; Life Course; work-family","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
